time,seconds_elapsed,lux
1742663131684257300,2419.8802573242187,1
1742663131883748000,2420.079748046875,0
1742663132284141000,2420.480141113281,1
1742663132484122000,2420.6801220703123,0
1742663134084132400,2422.280132324219,1
1742663134284240400,2422.4802404785155,0
1742663137884111600,2426.0801115722657,1
1742663138084125000,2426.280125,0
1742663139284141600,2427.4801416015625,2
1742663139684131300,2427.880131347656,1
1742663140884112400,2429.0801123046876,0
1742663141084128000,2429.2801279296873,1
1742663141883699200,2430.07969921875,2
1742663142284145400,2430.4801455078127,1
1742663142484119300,2430.6801193847655,2
1742663143283808800,2431.4798088378907,1
1742663144484221000,2432.6802209472658,2
1742663144684173600,2432.8801735839843,4
1742663144883754500,2433.0797543945314,5
1742663145084141000,2433.2801411132814,0
1742663195284238000,2483.4802380371093,1
1742663195484221400,2483.680221435547,0
1742663196084136400,2484.280136474609,7
1742663196284141000,2484.480141113281,1
1742663196484122000,2484.6801220703123,0
1742663197083657700,2485.279657714844,6
1742663197284171500,2485.4801716308593,2
1742663197484116200,2485.6801162109373,0
1742663198084222200,2486.2802221679685,6
1742663198284235300,2486.4802353515624,2
1742663198483720000,2486.679719970703,0
1742663199084130800,2487.280130859375,6
1742663199284137200,2487.4801372070315,2
1742663199484208600,2487.6802087402343,0
1742663200084377300,2488.2803774414065,6
1742663200284139800,2488.4801398925783,2
1742663200484119800,2488.680119873047,0
1742663201084221400,2489.280221435547,5
1742663201283958300,2489.479958251953,3
1742663201483700700,2489.6797006835936,0
1742663202084129300,2490.2801293945313,6
1742663202284140500,2490.480140625,4
1742663202484217900,2490.6802177734376,0
1742663203084128800,2491.2801286621093,6
1742663203284147500,2491.4801474609376,4
1742663203484118500,2491.6801184082033,0
1742663204084149000,2492.2801489257813,5
1742663204484120800,2492.6801208496095,0
1742663205084137000,2493.2801369628905,5
1742663205284238300,2493.48023828125,4
1742663205484235300,2493.6802353515627,0
1742663206084129800,2494.2801298828126,4
1742663206284143600,2494.4801435546874,6
1742663206484113200,2494.6801130371095,0
1742663207083760000,2495.2797600097656,9
1742663207284131800,2495.4801318359373,0
1742663208084231700,2496.280231689453,9
1742663208284252400,2496.4802524414063,0
1742663209084151600,2497.280151611328,10
1742663209284144000,2497.4801440429687,0
1742663210084220700,2498.280220703125,9
1742663210284131600,2498.480131591797,0
1742663211084224000,2499.280224121094,7
1742663211283768600,2499.4797685546873,0
1742663212084122000,2500.2801220703127,1
1742663212284239400,2500.4802392578126,0
1742663371638750700,2659.834750732422,1
1742663372238667300,2660.434667236328,0
1742663372838656300,2661.03465625,1
1742663373038388200,2661.2343881835936,0
1742663373838748700,2662.034748779297,1
1742663374638667800,2662.8346677246095,0
1742663374838647300,2663.0346472167967,1
1742663376638658800,2664.834658935547,0
1742663379438648300,2667.6346484375,1
1742663380638759400,2668.8347595214846,2
1742663381038775000,2669.2347751464845,1
1742663381238663400,2669.434663330078,0
1742663381638628600,2669.8346286621095,3
1742663381838643700,2670.0346437988283,2
1742663752270017300,3040.4660173339844,0
1742663752469288000,3040.6652878417967,1
1742663752869280500,3041.0652805175782,0
1742663753469295400,3041.6652954101564,1
1742663754069294000,3042.265294189453,0
1742663754269275000,3042.465274902344,1
1742663755669269800,3043.8652697753905,2
1742663755869280500,3044.0652805175782,3
1742663756069418500,3044.265418457031,4
1742663756269275000,3044.465274902344,2
1742663756869289200,3045.065289306641,3
1742663757069387000,3045.2653869628907,1
1742663757669276400,3045.8652763671876,2
1742663757869288700,3046.0652888183595,3
1742663758069298200,3046.265298095703,0
1742663758469386500,3046.6653864746095,2
1742663758669277000,3046.865276855469,3
1742663758869287200,3047.065287109375,2
1742663759269278200,3047.4652783203123,0
1742663759669277200,3047.8652770996096,1
1742663760069298200,3048.265298095703,5
1742663760269289200,3048.4652893066404,2
1742663760469292500,3048.665292480469,0
1742663760869378800,3049.06537890625,1
1742663761069293000,3049.26529296875,0
1742663761269371600,3049.4653715820314,1
1742663761469295600,3049.665295654297,3
1742663761669274600,3049.865274658203,1
1742663761869283600,3050.0652836914064,0
1742663762069300500,3050.2653005371094,1
1742663762469298000,3050.6652978515626,3
1742663762669278700,3050.8652788085938,1
1742663762869287000,3051.065286865234,0
1742663763269276400,3051.4652763671875,2
1742663763469289200,3051.6652893066407,0
1742663763668974300,3051.8649743652345,3
1742663764069299000,3052.265298828125,1
1742663764269280000,3052.465280029297,0
1742663764469292000,3052.6652919921876,1
1742663764669368600,3052.865368652344,3
1742663765069302000,3053.265302001953,4
1742663765269275000,3053.465274902344,1
1742663765469283300,3053.6652834472657,0
1742663765869282300,3054.0652822265624,4
1742663766069262300,3054.265262451172,3
1742663769441169000,3057.6371689453126,2
1742663769840990000,3058.0369899902344,0
1742663771841116700,3060.0371166992186,1
1742663772041002200,3060.2370021972656,0
1742663772240986400,3060.436986328125,4
1742663772440996400,3060.6369963378907,0
1742663772640982500,3060.836982421875,3
1742663772840992500,3061.0369924316406,0
1742663773840991700,3062.0369916992186,2
1742663774041000700,3062.237000732422,0
1742663774641041400,3062.837041503906,2
1742663774841008600,3063.0370085449217,3
1742663775041005300,3063.237005371094,1
1742663776041015600,3064.237015625,7
1742663776240996600,3064.436996582031,12
1742663776441002500,3064.6370024414064,0
1742663777441009700,3065.637009765625,5
1742663777641015600,3065.837015625,0
1742663779041008600,3067.237008544922,5
1742663779240999700,3067.4369997558592,9
1742663779441093600,3067.63709375,8
1742663779641015800,3067.8370158691405,6
1742663779840539600,3068.036539550781,10
1742663780041006300,3068.2370063476565,1
1742663780241006000,3068.4370061035156,2
1742663780441010000,3068.6370100097656,0
1742663783441019100,3071.637019042969,1
1742663783640971000,3071.8369709472654,0
1742663786440240000,3074.636240234375,1
1742663786641013200,3074.8370131835936,0
1742663845841051400,3134.037051513672,1
1742663846041019100,3134.2370190429688,2
1742663846441002000,3134.637001953125,0
